Id, Cat1Rank, Cat2Rank, Cat3rank, Choices
120620946,99999,99999,99999,NOCHOICE
120500586,99999,5310,99999,C0285|C0785|C0126|C0726|C0926|C0826|A1726|A2026|C0526|A2426|C0228|C0928|C0828|C0628|A0228|C0129|C0429|C0329|C0900|C0629|C0400|C0100|C0700|C0800|C0300|A0700|A0600|A0800|A0900|A1000|A1300|A1200|A1700|A1600|A2000|A1900|A2100|A2200|A2300|A2500|A2400|A0100|A0200|A0300|A0400
120614102,38,696,377,C0922|C0926|C0122|C0126|C0822|C0826|C0422|C0726|C0839|C0921|C1022|C0522|C0821
120620240,99999,3439,99999,C0900|C0100|C0400|C0700|A0700|A1700|A0800|A0600|A0900|A2000|A1300|A2100|A1900|A2200|C0800|A0200|C0928|C0228|C0628|C0828|A0228|C0926|C0126|C0726|A2400|C0129|C0429|C0629|A2026|A1726|C0826|A2426|C0300|C0329|A0100|A1100|A0400|A0500|A1200|A1500|A1600|A2500
120609817,99999,905,99999,C0900|A1700|A1726|C0926|A0700|A0600|A0800|A1600|C0100|C0700
120620428,99999,4521,99999,C0926|C0126|C0726|C0826|A1726|A2026|C0526|A2426
120613473,99999,1769,99999,C0900|A1700|A0700|A0600|A0900|A0800
120621044,99999,99999,2902,C0422|C0122|C1022|C0922|C0322|C0822|C0920|C0839|A1739
120615842,99999,99999,872,C0922|C0122|C0422|C0322|C1022|C0622|C0822|C0522|A1422
120608339,99999,5110,99999,C0900|A1700|C0100|A0700|C0400|A0900|A0600|C0300|C0800|A1300|A0800|C0700|A1200
120504276,99999,4002,99999,C0900|C0100|A1700|C0400|A1600|A0700|A0600|A0800|A0900|C0800|C0700|A2200|A0200|A1300|A1900|A2400|A2000|A2100|A1100|A0400|A0500
120608749,99999,5531,99999,C0900|A1700|C0100|A0700|C0400|A0900|A0600|C0300|C0800|A1300|A0800|C0700|A1200
120610903,99999,4348,2003,C0122|C0100|C0922|C0900|C0422|C0400|C0822|A1300|C0700|C0800|C0322|A0800|A0600|A2100
120500243,99999,168,99999,A1700|C0900|C0100|C0400|C0800|C0129|C0429|C0629
120502501,99999,1000,392,C0920|C0922|C0926|C0122|C0822|C0422|C0522|C0322|C0622|C0126|C0900|C0826|C0726|C0526|A1726|C0429|C0129|C0629|C0329|C0400|C0100|C0800|C0700|C0300|A2426|A2026|A1700|A1600|A0800|A0900|A1300|A1200|A0600|A0700|A0200|A0100|A1100|A1000|A0500|A0400|A0300|A2300|A2200|A2500|A1900
120610645,99999,3887,1821,C0422|C0122|C0922|C0322|C0522|C0822|C1022|C0622|C0839|C0920|C0126|C0926|C0526|C0826|C0726|A1422|A1520|A1820|A1739|A1539|A1839|A2026|A1726|A2426
120618613,99999,3196,1970,C0900|A1700|C0926|A1726|A0700|A0600|A0800|A0900|C0928|A1739|C0700|A1900|A2100|C0726|A1300|C0429|C0129|C0400|C0100|A2000|C0126|A2026|C0228|C0329|C0800|C0300|A1600|C0826|C0785|C0285
120621217,99999,99999,1156,C0922|C0920|A1739|C0422|C0122
120607172,99999,3588,1936,A2426|C0926|A1726|C0126|C0920|C0922|C0422|C0122|A1422|A1820|C0822|C0622|C0322
120610425,99999,2562,99999,C0900|C0100|C0400|A1700|C0700|C0800|C0926
120610286,99999,4102,99999,A0700|A1700|C0900|A0600|A0900|A0800
120607484,99999,941,136,C0922|C0122|C0422|A1739|C0920|A1839|A1820
120506449,99999,1396,681,C0922|C0926|C0900|C0122|C0126|C0129|C0100|C0422|C0429|C0400|C0322|C0329|C0300|A2426|A2400|A1726|A1700|A1739|C0726|C0700|C0522|C0526|C0822|C0826|C0800|C0839|C0622|C0629|C1022|A1422|A2300|A1839|A2026|A0700|A0600|A1539|A1300|A1500|A2000|A1900|A2100|A0500|A0100|A1600
120613634,99999,2434,1571,C0900|A1700|C0922|C0926|A1726|C0100|C0400|C0122|C0422|C0126
120611864,99999,2642,99999,C0900|C0800|A1300|C0700|C0100|C0400|C0285|C0785|C0629|C0129|A2200|A2500|A1700|A0800|A0600|A0700|A2100
120505226,99999,4079,99999,C0900|C0300|C0100|A1700|C0400|C0800|C0700|A2400|A2300|A0800|A0600|A1900|A2100|A1300|A1200|A1500|A1000|C0129|C0329|C0429|C0126|C0926|C0726|A2426|C0826|C0526|A2026|C0228|C0928|C0828|C0628|A0228
120612343,99999,2037,99999,C0900|C0100|A1700|C0926|C0126|A0700|A1300|A1726|A1900|C0700|A2100|C0800
120610978,99999,2914,99999,C0900|A1700|C0800|A2000|A0200|A2200|A0600
120610314,99999,5170,99999,C0900|C0100|A1700|A1600|C0700|C0400|A0600|A1300|A2000|C0300|A0800|A0900|A0400|A0700|A1900|A2100|A0100|A1500|A0200|C0429|C0129|C0329
120618075,99999,4202,99999,C0700|A1700|A0700|A0800|A0900|A0600|C0129|C0429|C0329|C0629
120606686,99999,3497,99999,C0900|A1700|A0700|A0800|A0600|A0900|A1500|A1200|C0700|C0400|A1300|A1900|A2100
120621784,99999,4425,2091,C0920|C0926|A1820|A1520|C0839|A1839|A1739|A1539|C0726|C0126|C0826|C0526|A2426|A1726|A2026
120617279,99999,2209,99999,A1700|C0900|C0928|C0100|C0129|C0400|A0700|C0228|C0429|C0300|A1600|C0700|C0329
120613935,99999,907,654,C0922|C0122|C0422|C0129|C0429|C0900|C0700|C0100|C0400|C0920|A1700|A0800|A0700|C0137|A1739|A1839|A1820|C0928|C0785
120620298,99999,4138,99999,C0100|A2000|C0400|C0228|C0129|C0429|C0126|A2026|C0285
120501707,99999,2184,99999,C0900|A1700|A1600|C0100|A1900|A0700|A1300|A0600|A2000|A0900|C0700|C0400|A2100|A0400|A1200|A1500|C0300|C0800
120501059,190,3975,2232,C0129|C0429|C0329|C0629|C0900|A1700|C0922|C0422|C0122|C0100|C0400|C0700
120617338,99999,3188,99999,C0900|C0100|C0700|C0926|C0400|C0300|C0800|C0129|C0126|C0726|C0429|C0329|A1700|A1300|C0526|C0629|C0826|A1726|A1600|A2400|A2426|A2300
120619148,99999,2254,99999,A1700|A1600|C0900|A0700|A1900|A2100|A1300|C0100|A0800|C0700
120620074,99999,1785,99999,C0100|C0900|A1700
120607474,199,4941,2562,C0422|C0922|C0122|C0900|C0400|C0100|A1700|A1300|C0700|C0926|C0126|A1726|C0800|C0822|A1739|C0928|C0429|C0129|C0839|C0826|C0228|C0828|C0137
120607616,99999,3913,99999,A1900|A2100|A1300|A1700|C0900|A0700|A0800|A0600|A0900|A1200|A1600|A0100|A0500
120618934,99999,4650,2679,C0922|C0900|A1700|A0700|C0122|C0100|C0129|A0600|A0800|A0900
